idMao	idPartida	jogadorMao	cartaAltaRobo	cartaMediaRobo	cartaBaixaRobo	cartaAltaHumano	cartaMediaHumano	cartaBaixaHumano	primeiraCartaRobo	primeiraCartaHumano	segundaCartaRobo	segundaCartaHumano	terceiraCartaRobo	terceiraCartaHumano	ganhadorPrimeiraRodada	ganhadorSegundaRodada	ganhadorTerceiraRodada	roboCartaVirada	humanoCartaVirada	quemPediuEnvido	quemPediuFaltaEnvido	quemPediuRealEnvido	pontosEnvidoRobo	pontosEnvidoHumano	quemNegouEnvido	quemGanhouEnvido	tentosEnvido	quemFlor	quemContraFlor	quemContraFlorResto	quemNegouFlor	pontosFlorRobo	pontosFlorHumano	quemGanhouFlor	tentosFlor	quemEscondeuPontosEnvido	quemEscondeuPontosFlor	quemTruco	quandoTruco	quemRetruco	quandoRetruco	quemValeQuatro	quandoValeQuatro	quemNegouTruco	quemGanhouTruco	tentosTruco	tentosAnterioresRobo	tentosAnterioresHumano	tentosPosterioresRobo	tentosPosterioresHumano	roboMentiuEnvido	humanoMentiuEnvido	roboMentiuFlor	humanoMentiuFlor	roboMentiuTruco	humanoMentiuTruco	quemBaralho	quandoBaralho	quemContraFlorFalta	quemEnvidoEnvido	quemFlorFlor	quandoCartaVirada	hasDeception	roboMentiuRound1	humanoMentiuRound1	roboMentiuRound2	humanoMentiuRound2	roboMentiuRound3	humanoMentiuRound3	naipeCartaAltaRobo	naipeCartaMediaRobo	naipeCartaBaixaRobo	naipeCartaAltaHumano	naipeCartaMediaHumano	naipeCartaBaixaHumano	naipePrimeiraCartaRobo	naipePrimeiraCartaHumano	naipeSegundaCartaRobo	naipeSegundaCartaHumano	naipeTerceiraCartaRobo	naipeTerceiraCartaHumano	quantidadeChamadasHumano	quantidadeChamadasRobo	qualidadeMaoRobo	qualidadeMaoHumano	primeiraCartaHumanoClustering	segundaCartaHumanoClustering	terceiraCartaHumanoClustering	primeiraCartaRoboClustering	segundaCartaRoboClustering	terceiraCartaRoboClustering	quantidadeChamadasEnvidoRobo	quantidadeChamadasEnvidoHumano	cartaAltaRoboClustering	cartaMediaRoboClustering	cartaBaixaRoboClustering	clusterPrimeiraCartaAgentePe	clusterSegundaCartaAgenteGanhouAprimeira	clusterSegundaCartaAgentePerdeuAprimeira	clusterTerceiraCartaAgenteGanhouAsegunda	clusterGanhadorUltimaRodada	clusterTerceiraCartaAgentePerdeuAsegunda	clusterPrimeiraCartaAgenteMao	ganhadorMao	clusterQuemEnvidoAgenteMao	clusterQuemFlor	id	saldoTruco	saldoEnvido	saldoFlor	clusterQuemEnvidoAgentePe	clusteringindexacao	clusterBaralho	clusteringIndexacaoPontos	casoUtilTruco	casoUtilEnvido	casoUtilContraFlor	quemPediuEnvidoCluster	quemPediuRealEnvidoCluster	quemPediuFaltaEnvidoCluster	quemNegouEnvidoCluster	quemTrucoCluster	quemRetrucoCluster	quemValeQuatroCluster	quemNegouTrucoCluster	utilTruco	utilEnvido	utilFlor	utilCarta	quemPediuFlorCluster	quemPediuContraFlorCluster	quemPediuContraFlorEoRestoCluster	diferencaPontuacao	idOrigem	clusterQuemTrucoPrimeiraMao	clusterQuemTrucoPrimeiraPe	clusterQuemTrucoSegundaGanhouAnterior	clusterQuemTrucoSegundaPerdeuAnterior	clusterQuemTrucoTerceiraGanhouAnterior	clusterQuemTrucoTerceiraPerdeuAnterior	bluff1Success	bluff1Failure	bluff2Success	bluff2Failure	bluff3Success	bluff3Failure	bluff4Success	bluff4Failure	bluff5Success	bluff5Failure	bluff6Success	bluff6Failure	bluff1Opponent	bluff2Opponent	bluff3Opponent	bluff4Opponent	bluff5Opponent	bluff6Opponent	bluff1ShowDown	bluff2ShowDown	bluff3ShowDown	bluff4ShowDown	bluff5ShowDown	bluff6ShowDown
1004	fe6fe837-7fe4-48c6-90a1-f4621ec61e35	2	24	3	3	16	7	2	24	16	3	7	-46	2	1	2	1	0	0	1	0	0	6	5	2	1	1	1	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	3	0	0	0	0	2	1	1	3	2	5	2	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	COPAS	OURO	COPAS	ESPADAS	BASTOS	COPAS	COPAS	ESPADAS	COPAS	BASTOS	NULL	COPAS	0	0	0	0	20	7	3	46	4	-46	NULL	NULL	20	3	3	2	2	0	0	0	3	0	1	0	NULL	1004	1	1	NULL	0	2	3	1	0	0	0	1	2	2	3	1	2	2	3	0	0	1	1	1	0	1	0	NULL	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1005	fe6fe837-7fe4-48c6-90a1-f4621ec61e35	1	7	6	1	24	3	1	1	1	7	24	-15	-50	0	2	2	0	0	2	0	0	4	29	1	2	1	1	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	2	0	0	0	0	0	2	2	5	2	5	5	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ESPADAS	OURO	ESPADAS	BASTOS	BASTOS	OURO	BASTOS	OURO	ESPADAS	BASTOS	NULL	NULL	0	0	0	0	3	20	-15	4	46	-15	NULL	NULL	7	7	3	0	2	0	0	0	4	3	1	0	NULL	1005	-2	-1	NULL	0	2	0	1	0	0	0	3	2	2	1	3	2	2	2	0	0	1	1	1	0	1	0	NULL	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1006	fe6fe837-7fe4-48c6-90a1-f4621ec61e35	2	24	6	2	16	7	2	24	16	2	2	-15	-15	1	0	0	0	0	1	0	0	5	5	2	1	1	1	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	0	1	1	5	5	7	5	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	BASTOS	ESPADAS	BASTOS	BASTOS	ESPADAS	OURO	BASTOS	BASTOS	BASTOS	OURO	NULL	NULL	0	0	0	0	20	3	-15	46	4	-15	NULL	NULL	20	7	3	2	2	0	3	0	0	0	1	0	NULL	1006	1	1	NULL	0	2	3	1	0	0	0	1	2	2	3	2	2	2	2	1	0	1	1	1	0	1	0	NULL	0	5	1	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1007	fe6fe837-7fe4-48c6-90a1-f4621ec61e35	1	12	3	1	24	16	3	12	16	3	3	-15	-50	2	0	2	0	0	1	0	0	6	6	2	1	1	1	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	0	2	1	7	5	8	6	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OURO	COPAS	OURO	COPAS	BASTOS	ESPADAS	OURO	BASTOS	COPAS	ESPADAS	NULL	NULL	0	0	0	0	20	3	-15	46	16	-15	NULL	NULL	12	3	3	0	0	4	0	0	4	4	1	0	NULL	1007	-1	1	NULL	0	2	0	1	0	0	0	1	2	2	3	2	2	2	2	1	0	1	1	1	0	1	0	NULL	1	0	0	2	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1008	fe6fe837-7fe4-48c6-90a1-f4621ec61e35	2	24	16	2	24	3	1	24	24	-46	-10	-15	-10	0	1	1	0	0	0	0	0	5	29	0	1	0	1	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	0	1	1	8	6	9	6	NULL	NULL	NULL	NULL	NULL	NULL	2	1	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ESPADAS	BASTOS	ESPADAS	COPAS	COPAS	ESPADAS	ESPADAS	COPAS	NULL	NULL	NULL	NULL	0	0	0	0	20	-10	-15	46	-46	-15	NULL	NULL	20	20	3	2	0	5	3	0	0	0	1	0	NULL	1008	1	0	NULL	5	3	2	1	0	0	0	2	2	2	2	2	2	2	2	0	1	1	1	1	0	1	0	NULL	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1009	fe6fe837-7fe4-48c6-90a1-f4621ec61e35	1	50	8	3	16	3	2	3	3	-46	-50	-46	-50	0	1	1	0	0	2	0	0	6	31	0	2	2	1	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	1	0	0	0	0	2	1	1	9	6	10	8	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	BASTOS	COPAS	BASTOS	ESPADAS	COPAS	COPAS	BASTOS	COPAS	NULL	NULL	NULL	NULL	0	0	0	0	3	-46	-46	4	-46	-46	NULL	NULL	51	7	3	0	3	0	2	0	0	2	1	0	NULL	1009	1	-2	NULL	0	2	0	1	0	0	0	3	2	2	2	1	2	2	3	0	0	1	1	1	0	1	0	NULL	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1010	fe6fe837-7fe4-48c6-90a1-f4621ec61e35	2	24	8	2	24	4	1	2	24	8	4	-46	-50	2	1	1	0	0	0	0	0	5	31	0	1	0	1	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2	0	0	0	0	2	1	1	10	8	11	8	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OURO	ESPADAS	OURO	BASTOS	COPAS	COPAS	COPAS	BASTOS	ESPADAS	COPAS	NULL	NULL	0	0	0	0	20	3	-46	4	16	-46	NULL	NULL	20	7	3	6	0	4	2	0	0	0	1	0	NULL	1010	1	0	NULL	5	2	3	1	0	0	0	2	2	2	2	1	2	2	3	1	1	1	1	1	0	1	0	NULL	0	5	0	2	6	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1011	fe6fe837-7fe4-48c6-90a1-f4621ec61e35	1	50	2	1	42	40	8	1	-50	1	-50	-15	-50	2	2	2	0	0	2	0	0	5	7	0	1	2	1	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	1	0	0	0	0	1	2	1	11	8	13	9	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	BASTOS	COPAS	BASTOS	ESPADAS	OURO	ESPADAS	COPAS	NULL	NULL	NULL	NULL	NULL	0	0	0	0	-46	-46	-15	4	-15	-15	NULL	NULL	51	3	3	0	0	1	0	0	4	2	2	0	NULL	1011	-1	2	NULL	0	2	0	1	0	0	0	3	2	2	2	3	2	2	1	0	0	1	1	1	0	1	0	NULL	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1012	fe6fe837-7fe4-48c6-90a1-f4621ec61e35	2	12	7	6	42	8	2	6	2	12	42	-15	8	1	2	2	0	0	0	0	0	1	7	0	1	0	1	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	0	2	1	13	9	13	10	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	COPAS	OURO	COPAS	ESPADAS	COPAS	OURO	BASTOS	OURO	COPAS	ESPADAS	OURO	COPAS	0	0	0	0	3	41	7	4	46	-15	NULL	NULL	12	7	7	5	2	0	0	0	2	0	1	0	NULL	1012	-1	0	NULL	5	1	3	1	0	0	0	2	2	2	2	2	2	2	2	1	1	1	1	1	0	1	0	NULL	0	5	1	0	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1013	fe6fe837-7fe4-48c6-90a1-f4621ec61e35	1	42	6	2	24	8	7	2	7	42	8	-15	24	2	1	2	0	0	0	0	0	32	3	0	1	0	1	1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	3	0	0	0	0	0	2	2	13	10	13	12	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	1	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ESPADAS	ESPADAS	ESPADAS	OURO	BASTOS	COPAS	OURO	COPAS	ESPADAS	BASTOS	ESPADAS	OURO	0	0	0	0	7	7	20	4	46	-15	NULL	NULL	41	7	3	0	0	0	0	0	0	0	1	0	NULL	1013	-2	0	NULL	0	0	0	2	0	0	0	2	2	2	2	3	2	2	2	0	0	1	0	1	0	1	0	NULL	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
